"ID","PUNITIVO","SEXO","EDAD","IDEOLOGIA","VICTIMA","RELIGION","ANO"
14110154,"1","1",41,5,"0","1",2014
14110207,"1","0",40,6,"0","10",2014
14111187,"1","0",35,10,"0","5",2014
14110151,"1","0",52,6,"0","1",2014
14111382,"1","0",54,5,"1","1",2014
14110381,"1","1",34,5,"1","1",2014
14110508,"1","0",37,5,"0","5",2014
14110438,"1","0",38,5,"0","1",2014
14110205,"1","0",29,7,"1","1",2014
14111334,"1","0",35,6,"0","1",2014
14111299,"1","1",68,6,"0","1",2014
14110434,"1","1",31,9,"0","1",2014
14111388,"1","1",23,4,"0","1",2014
14111385,"0","1",49,2,"0","1",2014
14111182,"1","1",28,1,"0","5",2014
14110155,"0","1",21,6,"1","1",2014
14110152,"1","1",54,10,"1","1",2014
14110236,"0","1",38,6,"0","1",2014
14111324,"1","1",72,6,"0","1",2014
14111322,"0","1",40,5,"0","1",2014
14111342,"1","0",41,6,"0","1",2014
14110443,"0","1",20,8,"0","1",2014
14110156,"1","0",33,5,"0","1",2014
14110145,"0","1",41,4,"0","1",2014
14110146,"0","0",50,5,"0","1",2014
14110512,"1","0",71,5,"0","1",2014
14110209,"1","0",55,4,"1","5",2014
14110211,"1","0",23,4,"0","1",2014
14111302,"0","0",80,5,"0","1",2014
14110516,"1","0",29,5,"0","1",2014
14110375,"1","0",49,5,"0","1",2014
14110210,"0","1",49,5,"1","1",2014
14110150,"1","0",22,9,"0","1",2014
14110435,"1","1",29,7,"1","1",2014
14110096,"0","0",74,7,"0","1",2014
14111188,"0","0",65,5,"0","5",2014
14111181,"1","0",56,10,"0","5",2014
14110340,"1","1",53,5,"0","5",2014
14110086,"1","0",69,4,"0","1",2014
14110653,"1","1",33,8,"0","5",2014
14110148,"1","1",53,8,"1","1",2014
14110496,"1","1",44,7,"0","1",2014
14110433,"0","0",68,5,"0","1",2014
14111321,"1","0",22,5,"0","4",2014
14111329,"0","1",59,3,"0","1",2014
14110153,"1","0",24,5,"0","1",2014
14110436,"1","1",54,6,"0","5",2014
14110382,"1","1",64,5,"0","1",2014
14110440,"1","0",36,6,"0","1",2014
14110654,"1","0",65,7,"0","1",2014
14110092,"1","1",22,6,"0","1",2014
14110339,"0","1",50,4,"1","5",2014
14111303,"0","1",34,5,"0","1",2014
14110316,"1","1",60,10,"0","1",2014
14110214,"1","1",37,3,"1","10",2014
14110247,"1","1",78,5,"0","1",2014
14110332,"1","1",64,2,"0","1",2014
14110231,"1","0",66,10,"0","5",2014
14111306,"0","0",51,7,"0","2",2014
14110249,"0","0",27,4,"0","1",2014
14111335,"1","0",48,6,"0","1",2014
14110441,"1","0",53,2,"0","1",2014
14111338,"0","1",29,7,"0","4",2014
14111339,"0","0",56,9,"0","4",2014
14110509,"1","0",49,5,"0","1",2014
14110056,"0","0",40,4,"0","1",2014
14110227,"1","0",41,5,"0","5",2014
14110213,"0","0",41,5,"1","6",2014
14110658,"1","0",32,5,"0","1",2014
14110215,"1","1",47,5,"0","5",2014
14111381,"1","1",27,10,"0","1",2014
14111390,"1","0",37,5,"0","1",2014
14110085,"1","1",49,4,"0","1",2014
14110089,"0","1",40,3,"0","1",2014
14110225,"1","1",64,6,"0","1",2014
14110345,"1","1",48,8,"0","5",2014
14110442,"0","1",40,6,"0","1",2014
14110344,"0","1",64,8,"0","1",2014
14110359,"1","1",49,4,"0","1",2014
14110095,"1","1",60,5,"0","1",2014
14110088,"0","0",18,4,"0","1",2014
14110343,"1","1",41,10,"1","1",2014
14110093,"1","0",18,7,"0","2",2014
14110321,"1","0",27,7,"0","1",2014
14111240,"1","0",45,5,"0","1",2014
14110326,"1","0",36,2,"1","1",2014
14110629,"1","1",25,5,"1","1",2014
14111330,"0","1",26,1,"1","1",2014
14111242,"1","1",32,6,"1","1",2014
14111177,"1","0",26,10,"0","5",2014
14110349,"1","0",35,5,"0","1",2014
14110495,"1","0",19,4,"0","1",2014
14110239,"1","1",70,9,"0","1",2014
14110329,"1","1",20,3,"0","1",2014
14110330,"1","1",40,2,"0","1",2014
14110357,"1","1",20,3,"0","1",2014
14110394,"1","1",33,4,"0","4",2014
14110385,"1","0",36,9,"0","1",2014
